cpf,name,date_of_birth,salary_range,phone
546382724,Breno Soares Andrade,1989-04-22,2000-5000,(19) 8421-7534
488443866,Leticia Batista Okada,1977-05-06,2000-5000,(86) 8020-4222
333853896,Poliana Moura Ferrari,1992-11-25,0-2000,(13) 8249-6785
370079615,Raquel Miranda Alves,1970-12-23,2000-5000,(13) 8633-5428
420921092,Paulo Silvestri Nardoni,1975-05-27,8000-12000,(16) 8888-1337
473101429,Luiz Castro Marques,1978-03-23,8000-12000,(12) 9813-7285
284849263,Daniele Teteshi Queiroz,1990-09-13,2000-5000,(15) 7427-5892
464016122,Willian Menezes Gonzalez,1975-11-04,2000-5000,(15) 8877-9613
280003877,Breno Milani Fernandes,1975-06-18,12000+,(79) 8498-8191
243901084,Alessandra Lins Araujo,1987-06-29,5000-8000,(12) 9749-5736
247964644,Alessandra Cunha Lins,1978-05-30,2000-5000,(21) 8035-9618
457139002,Rogerio Lombardi Toffoli,1979-07-28,12000+,(86) 8976-4782
337295086,Danilo Milani Varella,1991-11-22,5000-8000,(17) 7020-4786
355149339,Barbara Viana Rocha,1975-03-10,8000-12000,(17) 9305-3367
263532718,Jorge Lorenzetti Fiore,1998-09-17,0-2000,(21) 8884-9384
234200434,Brenda Batista Monteiro,1966-09-21,8000-12000,(17) 7899-2348
393698766,Fernando Luca Girardi,2002-04-10,0-2000,(17) 7965-7832
243296432,Laura Vilar Gomes,1985-12-23,0-2000,(17) 7456-1997
447222733,Francisco Manoel Flora,1995-03-29,0-2000,(16) 8401-6666
450718513,Andreia Gonzalez Manoel,1966-09-17,8000-12000,(15) 9346-6448
532399420,Marta Uehara Quaresma,1968-08-02,12000+,(12) 9107-6416
490200611,Francisco Okada Moura,1994-09-27,8000-12000,(13) 9426-1582
558782325,Luciana Menezes Lopes,1984-07-20,8000-12000,(12) 8619-8368
386867613,Leonardo Justi Villasboas,1991-09-05,0-2000,(86) 7232-1783
265904596,Eduardo Fernandes Cunha,1994-01-18,2000-5000,(19) 8117-2785
532421583,Roberto Uehara Moreira,1976-04-24,12000+,(15) 8683-9832
596947878,Luciana Moura Manoel,1964-10-18,2000-5000,(19) 8690-7541
325917962,Vinicius Nogueira Romano,1994-04-27,8000-12000,(15) 9494-5441
325986238,Jorge Villa Luca,1997-09-01,0-2000,(86) 8469-2883
411426101,Wilson Ferreira Batista,1970-09-22,0-2000,(31) 9441-2121
434006459,Julia Eller Souza,2000-11-12,8000-12000,(16) 9446-1252
418485280,Luana Harper Pierri,1978-03-03,8000-12000,(86) 7868-6389
392048574,Vitoria Alves Moreira,2000-10-20,5000-8000,(16) 8328-6561
595071224,Natalia Nascimento Soares,1994-04-27,0-2000,(15) 9672-1286
224322399,Leonardo Araujo Shutz,1977-04-26,0-2000,(16) 9018-9968
597722101,Thiago Moreira Dias,1998-08-07,8000-12000,(74) 8260-9997
318164543,Marcelo Araujo Luca,1990-01-02,8000-12000,(17) 8261-3763
338962185,Danilo Oliveira Fontes,1986-10-06,0-2000,(16) 9844-6522
552287426,Paulo Girardi Toffoli,1990-10-10,5000-8000,(12) 9115-2367
304878469,Arthur Ambrosio Teixeira,2003-07-27,8000-12000,(86) 8418-5125
328322000,Mario Meirelles Prado,1966-02-24,2000-5000,(16) 9375-4175
517299326,Vinicius Nunes Nascimento,1993-03-26,2000-5000,(12) 9624-1555
226811278,Julio Olimpio Arcuri,1987-11-12,12000+,(12) 7066-5329
488750464,Giulia Okada Nicoletti,1972-11-26,12000+,(31) 9825-8561
486622232,Alexandre Zardetto Nascimento,1981-01-21,12000+,(31) 8705-2528
586557832,Heloisa Freitas Klein,1984-11-02,2000-5000,(79) 7322-8932
361475540,Lucas Romano Bastos,1988-02-01,5000-8000,(13) 9844-7329
290290677,Arthur Machado Barros,1975-02-24,2000-5000,(13) 7119-2832
276072466,Nicole Melo Okada,1962-04-29,0-2000,(13) 7501-8329
348552961,Yuri Miranda Correa,1979-06-05,8000-12000,(21) 7851-5234
356185276,Osvaldo Moura Ribeiro,2001-01-05,12000+,(16) 7609-1898
400258474,Etori Eller Araujo,2001-01-05,12000+,(16) 8914-3633
402414441,Fabio Morelli Bianchi,1985-08-23,0-2000,(86) 8946-4459
574577508,Alexandre Pereira Rocha,1961-08-12,5000-8000,(86) 9332-2815
582600307,Luiz Martinelli Sato,1995-11-08,0-2000,(19) 9062-9921
529620783,Tabata Vieira Schneider,1975-09-26,2000-5000,(79) 9818-3384
565595683,Luiz Vilar Bianchi,1988-08-26,0-2000,(21) 7800-2125
577483622,Isadora Bernardi Alves,1968-10-29,2000-5000,(12) 8259-6443
366559639,Julia Kropf Rodrigues,2002-10-09,2000-5000,(16) 7608-5713
282375210,Mario Santos Oliveira,1961-04-10,5000-8000,(12) 8712-8552
260626431,Cristiane Lins Meirelles,1973-10-31,2000-5000,(16) 9680-7527
258250383,Almir Shutz Carvalho,1972-06-30,12000+,(21) 7255-2167
415603766,Juliano Santos Fiore,1982-05-07,0-2000,(21) 8185-9643
582975175,Paulo da Silva Castro,1997-02-01,12000+,(79) 8895-2939
395513597,Raquel Girardi Moura,1990-11-04,8000-12000,(17) 9544-3717
573995461,Fabio Ferraz Ferreira,1994-12-26,2000-5000,(15) 7026-4715
274411137,Gustavo Ambrosio Fiore,1992-03-12,0-2000,(15) 8199-2478
357166061,Valeska Carvalho Fonseca,2002-04-10,12000+,(79) 8154-8598
514135251,Carol Nunes Miranda,1976-01-04,12000+,(21) 9680-3678
266338253,Raquel Costa Machado,1992-03-28,2000-5000,(31) 7307-2636
583925383,Sinezio Bezerra Schneider,2000-02-22,0-2000,(15) 8322-8579
365437262,Luciane Martins Ferrari,2001-05-03,2000-5000,(74) 9393-3558
498782481,Ana Carvalho Fiore,1986-12-21,0-2000,(12) 8523-9674
295774614,Giulia Andrade Vilar,1962-03-16,12000+,(12) 9298-5139
242755664,Pedro Antonelli Campos,1999-11-04,8000-12000,(74) 9780-8235
289874235,Zacarias Colombo Amaral,1996-08-28,8000-12000,(31) 7817-2397
360762766,Charles Leite Carvalho,1990-06-03,12000+,(19) 9281-1236
569028333,Luciana Simas Quaresma,1983-03-05,8000-12000,(86) 8974-9768
328929508,Poliana Leite Moura,1992-10-10,12000+,(17) 7452-2839
468097011,Danilo Mello Toffoli,1990-03-06,5000-8000,(15) 8314-8971
319137722,Willian Colombo Fiore,1991-11-15,2000-5000,(86) 7137-4816
456393594,Giulia Morelli Monteiro,1997-10-19,8000-12000,(15) 9673-6898
599543412,Andreia Batista Gentili,1968-03-20,12000+,(13) 9065-6115
531953395,Poliana Monteiro Lins,1965-05-15,8000-12000,(21) 7755-3327
434040752,Nicole Batista Alves,1974-06-12,8000-12000,(86) 8083-9225
341018192,Etori Mello Girardi,1975-10-19,2000-5000,(19) 7950-4565
210358033,Carlos Gomes Paes,1976-02-25,12000+,(74) 7409-9297
355408086,Maria Dias Teles,1984-01-02,5000-8000,(16) 8342-3736
318821044,Luiza Teles Alves,1990-06-04,2000-5000,(13) 7931-6848
421092185,Mariana Simom Zucatelli,1992-09-11,5000-8000,(12) 9136-4695
